Country,RC,CW,CF,TA,WD
5,14.68,14.02,1.67,0.246,2.9
5,16.17,14.77,3.2,0.434,6.32
5,17.87,17.04,3.48,0.323,4.99
5,18.44,11.55,3.02,0.781,4.32
5,18.65,15.88,3.25,0.321,6.44
5,19.41,15.23,3.32,0.933,5.11
5,19.77,18.88,3.04,0.981,1.27
5,20.07,11.01,3.39,0.545,4.55
5,20.08,16.22,2.8,0.873,1.22
5,20.19,16.28,3.3,0.777,3.21
5,20.23,16.12,3.25,0.762,5.02
5,20.43,12.55,3.36,0.427,3.22
5,20.54,16.89,3.06,0.989,5.31
5,20.65,18.23,3.39,0.878,2.54
5,13.55,15.22,2.21,0.946,5.66
5,12.77,15.55,0.92,0.681,1.5
5,13.32,16.55,0.84,0.212,3.32
5,10.33,13.82,1.91,0.765,3.34
5,12.59,17.77,1.08,0.472,2.26
5,14.18,12.01,1.14,0.897,2.82
5,13.65,17.33,1.71,0.345,2.86
5,11.24,12.29,1.39,0.912,2.84
5,14.16,16.25,1.73,0.678,2.9
5,15.39,13.75,1.94,0.824,3.92
