Religious,No. of hours,Theatre,Shopping,sports,class
89.76,16.4,89.344,81.96,56.96,0
89.59,16.92,89.328,81.84,56.84,3
89.59,17,87.856,81.8,56.8,2
89.4,17,87.712,81.76,56.76,2
89.4,17.096,87.712,81.76,56.76,1
88.92,17.128,86.704,81.2,56.2,3
88.64,17.224,86.368,81.2,56.2,2
88.4,17.288,86.08,80.8,55.8,1
88.16,17.336,85.792,80.8,55.8,2
87.92,17.336,85.504,80.48,55.48,2
87.84,17.4,85.43,80.32,55.32,2
87.84,17.43,85.43,80.32,55.32,4
87.8,17.43,85.408,80.28,55.28,4
87.8,17.48,85.408,80.28,55.28,3
87.55,17.48,85.36,80.24,55.24,3
87.55,17.768,85.36,80.12,55.12,1
87.52,17.832,85.024,79.68,54.92,3
87.08,18.008,84.496,78.4,54.6,4
86.92,18.12,84.304,77.12,54.28,1
86.2,18.12,83.44,76.48,54.12,1
86.2,18.136,83.44,74.72,53.68,3
86,18.136,83.2,73.92,53.48,3
85.84,18.168,83.008,73.12,53.28,4
85.84,18.264,83.008,70.72,52.68,1
85.72,18.36,82.864,67.36,51.84,0
85.56,18.456,82.672,66.4,51.6,4
85.32,18.568,82.384,64.48,51.12,4
85.24,18.904,82.288,60.8,50.2,2
85,18.904,82,60.8,50.2,2
85,18.952,82,60.64,50.16,0
85.67,4.56,88,69.45,56.78,2
89.43,7.65,87.56,60.34,87.66,3
83,8.76,89,60.45,77.89,1
92.34,9.56,83.23,66.56,89.76,4
94.56,12.65,92.34,69.45,66.78,0
97.65,10.45,85.45,70.45,87.67,2
93.45,6.45,86.56,88.56,83.45,3
99.56,17.23,89.34,88.34,82.34,4
90.23,14.23,85.45,86.45,82.44,0
95.89,12.56,85.67,82.12,85.34,2
88.45,17.65,92.34,83.23,81.23,3
87.34,13.34,92.56,85.45,85.45,2
86.56,16.54,92.55,78.45,70.45,2
98.67,14.24,87.56,86.55,69.89,3
97.54,15.54,85.56,82.34,63.23,4
96.45,14.23,82.34,89.45,63.45,4
92.34,12.34,84.56,80.12,65.34,1
92.4,17.65,86.45,81.23,78.45,1
91.23,15.44,87.56,82.33,77.45,0
95.67,15.88,92.34,78.45,73.45,0
94.56,11.23,90.45,75.55,59.345,3
97.66,14.34,90.99,72.34,87.33,3
98.34,17.45,91.23,75.45,82.35,2
91.99,10.23,91.67,77.34,62.34,3
92.67,9.45,91.56,66.78,69.45,4
86.45,9.34,92.33,65.56,78.45,3
87.45,9.56,89.34,69.45,73.45,2
87.67,8.45,88.33,68.45,75.67,1
88.44,8.23,86.45,65.12,81.23,2
88.89,7.34,90.82,67.45,72.32,3
