Religious,No. of hours,Theatre,Shopping,sports,class
92.16,10.16,90.16,85.8,60.4,3
92.208,10.208,90.208,86.04,60.52,0
92.224,10.224,90.224,86.12,60.56,0
92.224,10.224,90.224,86.12,60.56,0
96.55,10.23,92.34,98.54,84.34,0
96.55,10.23,92.34,98.54,84.34,0
92.288,10.288,90.288,86.44,60.72,0
92.32,10.32,90.32,86.6,60.8,4
92.32,10.32,90.32,86.6,60.8,4
89.59,10.45,89.18,91.23,85.99,1
89.59,10.45,89.18,91.23,85.99,1
92.512,10.512,90.512,87.56,61.28,0
92.512,10.512,90.512,87.56,61.28,0
92.56,10.56,90.56,87.8,61.4,3
92.8,10.8,90.8,89,62,1
92.8,10.8,90.8,89,62,1
92.832,10.832,90.832,89.16,62.08,3
92.832,10.832,90.832,89.16,62.08,3
92.976,10.976,90.976,89.88,62.44,0
93.328,11.328,91.328,91.64,63.32,1
93.52,11.52,91.52,92.6,63.8,3
93.52,11.52,91.52,92.6,63.8,3
93.536,11.536,91.536,92.68,63.84,4
93.568,11.568,91.568,92.84,63.92,3
93.696,11.696,91.696,93.48,64.24,3
93.696,11.696,91.696,93.48,64.24,3
93.728,11.728,91.728,93.64,64.32,4
93.856,11.856,91.856,94.28,64.64,1
93.92,11.92,91.92,94.6,64.8,1
93.92,11.92,91.92,94.6,64.8,1
87.55,12.34,83.56,100.45,67.44,0
87.55,12.34,83.56,100.45,67.44,0
90.144,12.36,88.144,95.36,65.72,3
90.88,14.2,88.88,97.2,69.4,4
90.88,14.2,88.88,97.2,69.4,4
90.896,14.24,88.896,97.24,69.48,2
93.57,14.33,90.23,88.34,80.54,3
93.57,14.33,90.23,88.34,80.54,3
91.008,14.52,89.008,97.52,70.04,3
91.072,14.68,89.072,97.68,70.36,2
98.99,14.99,90.54,87.98,79.45,1
96.78,14.99,90.12,100.77,61.23,3
98.99,14.99,90.54,87.98,79.45,1
96.78,14.99,91.23,100.77,61.23,3
91.328,15.32,91.23,98.32,71.64,4
91.344,15.36,90.65,98.36,71.72,3
91.344,15.36,90.65,98.36,71.72,3
93.23,15.43,90.12,102.34,61.22,2
93.23,15.43,89.968,102.34,61.22,2
89.4,15.54,89.76,99.45,77.64,2
89.4,15.54,89.712,99.45,77.64,2
91.664,16.16,89.664,99.16,73.32,4
91.664,16.16,89.664,99.16,73.32,4
91.712,16.28,89.344,99.28,73.56,4
91.76,16.4,89.344,99.4,73.8,0
91.968,16.92,89.328,99.92,74.84,3
85,17,87.856,100,75,2
85,17,87.712,100,75,2
85.24,17.096,87.712,100.24,75.48,1
85.32,17.128,86.704,100.32,75.64,3
85.56,17.224,86.368,100.56,76.12,2
85.72,17.288,86.08,100.72,76.44,1
85.84,17.336,85.792,100.84,76.68,2
85.84,17.336,85.504,100.84,76.68,2
86,17.4,85.43,101,77,2
91.23,17.43,85.43,94.55,61.45,4
91.23,17.43,85.408,94.55,61.45,4
86.2,17.48,85.408,101.2,77.4,3
86.2,17.48,85.36,101.2,77.4,3
86.92,17.768,85.36,101.92,78.84,1
87.08,17.832,85.024,102.08,79.16,3
87.52,18.008,84.496,102.52,80.04,4
87.8,18.12,84.304,102.8,80.6,1
87.8,18.12,83.44,102.8,80.6,1
87.84,18.136,83.44,102.84,80.68,3
87.84,18.136,83.2,102.84,80.68,3
87.92,18.168,83.008,102.92,80.84,4
88.16,18.264,83.008,103.16,81.32,1
88.4,18.36,82.864,103.4,81.8,0
88.64,18.456,82.672,103.64,82.28,4
88.92,18.568,82.384,103.92,82.84,4
89.76,18.904,82.288,104.76,84.52,2
89.76,18.904,82,104.76,84.52,2
89.88,18.952,82,104.88,84.76,0
