Sports,Religious,Nature,Theatre,Shopping,Picnic,Climate
4,153,139,154,154,183,5
4,162,94,144,198,135,91
5,132,149,139,119,144,272
5,104,193,114,99,173,41
5,99,183,128,114,129,17
5,178,89,154,198,183,115
5,114,243,104,79,173,10
5,133,183,114,183,140,62
5,148,149,154,149,148,7
5,114,213,129,94,178,59
5,188,124,114,183,188,93
5,153,159,129,139,218,49
5,114,153,178,138,124,127
5,184,84,129,233,133,60
5,84,193,188,80,138,50
5,178,129,104,183,163,1
5,114,163,163,148,124,47
5,132,94,178,109,120,29
5,93,183,178,89,140,27
5,137,104,173,109,130,69
5,153,74,114,188,129,35
5,128,114,168,124,124,67
5,114,228,119,99,168,60
5,178,89,114,203,139,54
5,173,84,99,193,158,5
5,168,89,124,183,129,9
5,83,198,163,84,140,136
5,144,173,134,173,149,113
5,198,64,89,203,153,8
5,114,208,114,119,168,35
5,114,183,114,109,178,13
5,114,173,183,128,124,7
5,128,134,188,89,124,17
5,143,154,129,129,178,16
5,128,163,173,133,130,59
5,148,99,139,168,129,14
5,83,218,163,74,140,12
5,120,168,158,144,133,4
5,203,99,104,223,173,22
5,143,139,119,139,203,9
5,153,144,139,144,193,65
5,147,144,129,149,144,7
5,188,74,109,213,168,43
5,158,154,154,154,153,87
5,104,208,168,134,144,4
5,139,153,193,158,134,10
5,84,247,168,109,140,31
5,173,89,124,233,158,6
5,93,119,99,89,138,3
5,124,168,208,148,124,9
5,114,158,178,158,124,66
5,188,94,94,223,153,119
5,114,238,124,104,178,46
5,94,188,148,99,139,20
5,129,318,94,89,188,21
5,139,148,129,129,168,15
5,114,228,104,84,168,37
5,124,178,104,158,174,30
5,133,149,139,144,213,22
5,143,149,139,159,143,318
