Continent,Remote connection: Average WiFi speed (Mbps per second),Co-working spaces: Number of co-working spaces,Caffeine: Average price of buying a coffee,Travel: Average price of taxi (per km),After-work drinks: Average price for 2 beers in a bar,Accommodation: Average price of 1 bedroom apartment per month,"Food: Average cost of a meal at a local, mid-level restaurant",Climate: Average number of sunshine hours
4,20,14,2.67,1.42,10.24,601.71,11.1,2713
4,36,21,2.65,1.51,5.24,596.38,10.89,2002
4,24,11,2.29,1.29,10.24,514.68,11.1,2858
4,30,136,3.17,1.28,10.64,1054.23,12.77,1662
4,33,127,2.49,1.71,4.98,810.65,8.54,1626
4,33,38,2.34,1.71,6.84,711.6,8.11,1504
4,35,5,2.04,1.87,5.94,447.61,8.49,1581
4,25,44,2.59,1.88,6.84,685.86,8.54,2359
4,22,66,2.49,1.71,6.84,894.56,8.54,1586
4,41,65,2.46,1.63,7.26,809.13,10.25,1557
4,38,7,2.26,1.71,5.98,526.02,8.54,1501
4,31,87,2.7,1.71,6.84,1115.58,11.95,1709
4,33,25,2.51,1.45,6.82,800.83,10.22,1692
4,12,29,2.42,0.64,6.84,348.38,8.54,2773
4,37,40,1.2,0.72,2.4,366.66,4.81,1988
4,26,9,3.36,2.03,13.88,1170.6,14.46,1326
4,61,46,2.88,1.28,9.4,1437.05,12.81,1453
4,18,13,1.12,0.85,8.54,650.53,12.81,2924
4,17,87,1.38,1.15,8.24,927.31,12.81,1915
4,19,7,1.18,0.87,5.12,550.03,8.54,2375
4,17,50,1.07,1.02,8.52,822.9,12.77,2473
4,23,20,2.2,0.6,5.1,376.53,6.81,1754
4,25,22,2.03,0.51,5.46,445.99,6.81,1691
4,10,1,2.33,2.55,6.1,890.99,17.03,3054
4,22,99,2.85,2.01,8.54,1316.79,12.81,1662
4,37,31,2.52,1.71,6.8,1016.1,12.74,1745
4,49,33,3.62,1.16,14.94,1103.16,14.91,1668
4,37,35,2,0.45,3.76,538.25,5.63,2492
4,23,54,2.24,0.56,3.92,614.23,5.59,1571
4,70,1,1.57,0.85,4.24,509.68,7.43,3036
4,33,95,1.56,0.4,3.42,736.19,7.69,2806
4,29,32,1.34,0.43,3.4,572.92,5.96,2468
4,54,46,1.78,0.35,2.78,352.35,6.07,2115
4,34,33,1.32,0.51,2.9,308,5.08,2112
4,61,8,1.45,0.85,4.44,527.62,8.54,1974
4,37,136,1.59,1.01,5.12,768.46,10.25,2591
4,32,125,1.7,0.94,10.02,751.8,10.25,2769
4,26,17,1.27,0.73,4.26,581.14,8.54,3365
4,29,15,1.81,0.83,4.26,736.96,12.77,2763
4,28,7,1.21,0.8,3.4,561.28,7.66,2898
4,30,39,1.51,0.85,5.1,594.88,8.52,2660
4,37,50,3.35,1.13,11.72,1154.07,10.05,1803
4,36,23,3.52,2.44,12.58,1565.45,19.67,1828
4,33,42,3.97,3,11.06,1541.47,19.76,1566
4,13,69,1.23,0.29,3.34,230.1,2.92,2218
4,33,49,0.93,0.18,1.58,413.92,4.62,1955
4,26,13,2.74,1.07,9,604.91,11.98,1868
4,26,23,2.76,1.42,8.5,808.33,15,1427
4,26,16,2.77,1.06,7,651.23,15,1203
4,26,17,2.66,0.93,3.5,649.17,12,2199
4,22,318,2.95,1.7,10,1662.25,15,1633
4,33,38,2.81,1.22,8,849.23,15,1416
5,24,34,2.44,1.16,8.1,722.32,10.4,2396
5,30,10,2.69,1.04,6.94,681.29,11.56,2345
5,27,60,2.37,1.01,6.94,737.69,8.67,2051
5,26,24,2.59,1.15,8.06,928.07,11.52,2084
5,26,113,2.63,1.15,8.06,1135.92,11.52,2066
5,40,43,2.6,1.08,8.06,1166.84,11.52,1938
5,10,17,1.72,0.75,3.48,417.08,5.21,2081
5,43,8,4.05,1.47,8.62,1368.17,10.78,3036
5,7,9,1.58,2.16,2.88,318.06,5.76,2525
5,20,133,1.67,0.24,2.9,454.33,5.44,2555
5,16,7,1.63,0.88,1.46,247.88,3.26,2896
5,33,41,3.2,1.34,10.08,1877.31,14.4,2634
5,42,104,3.02,1.21,7.92,1330.55,12.24,2508
5,60,62,2.8,1.03,7.2,1002.84,10.8,2578
5,47,21,3.36,1.45,8.64,826.39,10.8,3825
5,58,105,3.39,1.21,10.08,1612.62,14.4,3254
5,40,59,3.25,1.16,8.64,1400.8,11.52,3154
5,45,16,3.25,1.54,5.02,1002.56,12.51,2649
5,37,272,3.48,1.34,10.58,2171.68,14.4,2535
5,44,35,3.32,1,7.18,936.98,10.78,3872
5,44,31,3.04,1.16,8.6,1151.21,11.47,2341
5,74,53,3.06,1.34,8.6,1553.79,10.75,3055
5,75,77,3.39,1.34,10.08,2149.04,14.34,3062
5,68,59,3.3,1.87,8.6,1666.66,10.75,2528
5,8,5,1.49,0.4,6.82,289.67,3.52,3131
5,6,6,2,1.3,1.64,502.94,3.91,3078
5,12,46,1.45,0.6,3.5,494.85,7,3094
5,12,49,1.42,0.6,3,328.29,6,3124
5,18,17,2.34,1.08,6.36,783.36,8.63,2765
5,22,37,2.49,1.17,8.62,929.46,10.78,2968
5,21,127,2.34,0.87,10.78,925.1,10.78,2636
5,19,29,2.45,0.91,9.54,803.84,10.6,3230
5,28,93,2.14,1.25,8.48,1398.15,9.54,2636
5,34,30,2.57,1.32,10.06,964.17,10.06,2003
5,17,67,1.22,0.47,2.16,229.55,5.15,2525
5,6,7,1.91,1.14,3.34,257.89,2.61,2289
5,10,42,1.08,0.42,2.26,264.92,4.59,2187
5,17,112,1.14,0.85,2.82,323.93,4.23,1894
5,11,57,2.21,0.94,5.66,311.18,6.6,2808
5,11,9,0.84,1.35,3.32,373.24,2.07,3019
5,9,41,0.92,0.68,1.5,186.54,2.82,1892
5,12,35,1.71,1.08,2.86,343.81,2.69,2238
5,9,4,1.39,0.91,2.84,164.43,1.83,3333
5,16,67,1.73,1.09,2.9,367.39,2.36,1230
5,25,10,1.94,0.82,3.92,316.58,7.03,2481
