Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,class
0.8116,0.9913,0.7444,0.8539,1.7119,0.763,0
0.8623,0.9896,0.6804,0.7778,1.9748,0.7107,0
0.7888,0.9879,0.7342,0.8667,1.6268,0.7825,0
0.8421,0.9896,0.6483,0.8267,1.8543,0.7329,0
0.8231,0.986,0.7629,0.8178,1.7608,0.7492,0
0.8445,0.9847,0.6485,0.8198,1.867,0.7298,0
0.8014,0.9913,0.735,0.8528,1.6718,0.7718,0
0.7619,0.9902,0.7286,0.8681,1.544,0.8022,0
0.8235,0.9901,0.7327,0.8265,1.7628,0.7503,0
0.8409,0.9934,0.653,0.8398,1.8479,0.7346,0
0.8151,0.9851,0.7305,0.8299,1.7261,0.7575,0
0.8309,0.9913,0.6702,0.8367,1.797,0.7449,0
0.8243,0.9894,0.6808,0.825,1.7665,0.7519,0
0.7806,0.9937,0.7221,0.8975,1.5998,0.7893,0
0.8018,0.9893,0.7258,0.8461,1.6733,0.7722,0
0.8195,0.9892,0.7585,0.8554,1.7448,0.7548,0
0.8445,0.9853,0.6888,0.8134,1.8673,0.7286,0
0.7626,0.992,0.7181,0.8905,1.5458,0.8029,0
0.8162,0.9912,0.7446,0.8468,1.7309,0.7574,0
0.8192,0.9868,0.7444,0.8244,1.7435,0.7558,0
0.8232,0.9876,0.663,0.832,1.7612,0.7504,0
0.8281,0.9795,0.6977,0.8001,1.784,0.7443,0
0.8613,0.9883,0.6925,0.7968,1.9684,0.7113,0
0.8046,0.9879,0.7075,0.8154,1.6839,0.7675,0
0.8656,0.9886,0.6987,0.7905,1.9968,0.7053,0
0.8655,0.9876,0.7286,0.7659,1.9965,0.7064,0
0.8286,0.9886,0.684,0.8175,1.7863,0.7463,0
0.8588,0.9867,0.6405,0.7729,1.952,0.7134,0
0.7518,0.9911,0.749,0.8724,1.5165,0.8114,0
0.7407,0.9864,0.7109,0.8639,1.4885,0.816,0
0.9044,0.9874,0.7389,0.7216,2.3438,0.6512,0
0.8112,0.9858,0.6915,0.8004,1.7099,0.7627,0
0.8244,0.9902,0.7337,0.835,1.7667,0.751,0
0.872,0.9904,0.7508,0.7908,2.0425,0.6989,0
0.8294,0.9897,0.7038,0.8286,1.7898,0.746,0
0.7863,0.9828,0.7499,0.8102,1.6184,0.7837,0
0.8459,0.9856,0.6978,0.7875,1.8752,0.7283,0
0.8269,0.9911,0.7211,0.8127,1.7783,0.7489,0
0.8781,0.9821,0.722,0.7318,2.09,0.6891,0
0.8523,0.988,0.6362,0.8034,1.9116,0.722,0
0.8789,0.9872,0.6422,0.7465,2.0966,0.6862,0
0.8357,0.9898,0.6612,0.835,1.8208,0.7403,0
0.8544,0.987,0.7427,0.7917,1.9244,0.7194,0
0.8368,0.9895,0.643,0.8338,1.8266,0.7374,0
0.7451,0.9861,0.7232,0.8907,1.4994,0.8127,0
0.8852,0.9917,0.6177,0.7702,2.1493,0.6803,1
0.9097,0.9924,0.7451,0.7294,2.4078,0.6435,1
0.9109,0.9892,0.5429,0.7221,2.4237,0.6413,1
0.8756,0.9879,0.6255,0.7609,2.0702,0.6931,1
0.8939,0.9877,0.7521,0.7566,2.2307,0.6682,1
0.8846,0.9887,0.5879,0.7541,2.1446,0.6815,1
0.8966,0.9868,0.7045,0.7409,2.2584,0.6644,1
0.877,0.9875,0.7264,0.7759,2.0811,0.6918,1
0.9225,0.9904,0.6688,0.6953,2.5915,0.6181,1
0.7734,0.9907,0.7344,0.8792,1.5775,0.7944,1
0.8941,0.9917,0.7763,0.7701,2.2326,0.668,1
0.9264,0.9847,0.6367,0.686,2.6558,0.6127,1
0.8866,0.9844,0.5658,0.7386,2.1624,0.6787,1
0.8946,0.9887,0.7419,0.7581,2.2379,0.6669,1
0.899,0.9908,0.725,0.7595,2.2836,0.6613,1
0.8671,0.9921,0.6128,0.8092,2.0077,0.7048,1
0.8949,0.9896,0.5704,0.7575,2.2413,0.6667,1
0.9204,0.9918,0.5415,0.7162,2.5573,0.625,1
0.901,0.987,0.6055,0.7382,2.3046,0.6562,1
0.8759,0.988,0.636,0.7988,2.0725,0.6933,1
0.8488,0.9894,0.7179,0.829,1.8912,0.7264,1
0.9251,0.9863,0.6089,0.6928,2.6338,0.6152,1
0.858,0.9911,0.7382,0.823,1.9469,0.7147,1
0.886,0.9912,0.6524,0.7783,2.1567,0.6794,1
0.914,0.9922,0.625,0.7252,2.4643,0.636,1
0.9194,0.9915,0.5283,0.6964,2.5417,0.6253,1
0.8533,0.9899,0.6826,0.8274,1.9175,0.7207,1
0.8991,0.9932,0.662,0.767,2.2848,0.661,1
0.842,0.9841,0.6977,0.7242,1.8535,0.7323,1
0.8584,0.9936,0.6732,0.8246,1.9494,0.7152,1
0.9398,0.9886,0.7775,0.6606,2.9271,0.5805,1
0.8891,0.9923,0.7225,0.7742,2.1844,0.6746,1
0.8839,0.9899,0.5872,0.7856,2.1379,0.6823,1
0.9082,0.9883,0.5494,0.729,2.3897,0.6465,1
0.9236,0.9859,0.6136,0.6995,2.6083,0.6171,1
0.7818,0.9815,0.761,0.8088,1.6039,0.7835,1
0.9065,0.9894,0.7403,0.7393,2.3685,0.6477,1
0.942,0.9916,0.7769,0.6582,2.9789,0.5789,1
0.8956,0.9898,0.718,0.7586,2.2481,0.6661,1
0.8987,0.9928,0.744,0.7634,2.2797,0.6612,1
0.8763,0.9897,0.6796,0.7921,2.0756,0.6919,1
0.9338,0.9907,0.7624,0.6699,2.7957,0.5948,1
0.914,0.9911,0.7465,0.7285,2.4648,0.6363,1
0.8867,0.9935,0.6605,0.7816,2.1633,0.6789,1
0.9148,0.9912,0.7599,0.7287,2.4761,0.635,1
0.8973,0.9903,0.7539,0.7521,2.2659,0.6627,1
0.8664,0.9895,0.7411,0.8029,2.0028,0.7048,1
0.9252,0.9893,0.7047,0.6906,2.6348,0.6116,1
0.8885,0.9906,0.6625,0.7647,2.1794,0.6767,1
0.88,0.9906,0.7145,0.7774,2.1051,0.6864,1
0.926,0.9905,0.7202,0.7024,2.6488,0.614,1
0.8782,0.9892,0.7506,0.7776,2.0911,0.6897,1
0.906,0.9919,0.7657,0.7508,2.3631,0.6502,1
0.9093,0.9893,0.7879,0.7413,2.4033,0.6443,1
0.8663,0.9882,0.6823,0.7996,2.0018,0.7052,1
0.8204,0.9865,0.6704,0.8413,1.7487,0.7547,1
0.9031,0.9918,0.7607,0.7531,2.3291,0.6547,1
0.8075,0.9907,0.6606,0.8568,1.6953,0.7665,1
0.8632,0.992,0.6282,0.8022,1.9809,0.7093,1
0.8809,0.978,0.6325,0.6555,2.1124,0.6853,1
0.9024,0.989,0.6903,0.7465,2.321,0.6538,1
0.9088,0.9927,0.5808,0.7439,2.3973,0.6453,1
0.9085,0.9917,0.5534,0.7386,2.3932,0.645,1
0.8846,0.9878,0.5904,0.7664,2.1445,0.6818,1
0.9323,0.9872,0.495,0.6636,2.7642,0.6004,1
0.9003,0.9912,0.7072,0.7512,2.2974,0.6577,1
0.8718,0.9914,0.6686,0.804,2.0417,0.6981,1
0.9082,0.9733,0.5578,0.7042,2.3898,0.6443,1
0.7828,0.98,0.7282,0.8383,1.6069,0.7849,1
0.9096,0.9919,0.6388,0.7448,2.4065,0.6442,1
0.8707,0.9918,0.6741,0.7976,2.0334,0.6989,1
0.8894,0.9853,0.7503,0.7432,2.1876,0.673,1
0.9019,0.9905,0.5814,0.7554,2.3147,0.656,1
0.9111,0.9915,0.7271,0.7318,2.4257,0.6398,1
0.8971,0.9875,0.7532,0.7572,2.2634,0.6638,1
0.8786,0.9918,0.7294,0.7921,2.0937,0.6886,1
0.8915,0.992,0.6946,0.7784,2.2076,0.6724,1
0.8756,0.9921,0.6225,0.7913,2.0701,0.6924,1
0.9213,0.9905,0.5225,0.705,2.5724,0.6226,1
0.8914,0.9916,0.5919,0.7668,2.2067,0.6725,1
0.8921,0.9869,0.7346,0.7734,2.2131,0.6712,1
0.8929,0.9912,0.5751,0.7641,2.2207,0.6699,1
0.9014,0.9925,0.6937,0.7524,2.3097,0.6572,1
0.9096,0.9928,0.7454,0.7503,2.4066,0.644,1
0.8897,0.9926,0.7671,0.778,2.1906,0.6751,1
0.8769,0.9874,0.7359,0.7766,2.0806,0.6918,1
0.8268,0.9888,0.6073,0.799,1.778,0.7389,1
0.9121,0.989,0.592,0.7214,2.4391,0.6397,1
0.8945,0.9905,0.5718,0.7587,2.2371,0.6675,1
0.8815,0.9865,0.7295,0.7824,2.1175,0.6859,1
0.803,0.9868,0.6326,0.8204,1.6777,0.7644,1
0.8394,0.9938,0.7195,0.8344,1.8396,0.7361,1
0.877,0.9907,0.7636,0.7986,2.0814,0.6916,1
0.8689,0.9907,0.7416,0.7933,2.0205,0.7025,1
0.9366,0.9842,0.6139,0.6577,2.8544,0.5894,1
0.854,0.9925,0.7246,0.8203,1.9223,0.7193,1
0.9016,0.9926,0.7284,0.7596,2.3117,0.6575,1
0.8778,0.9898,0.7484,0.7758,2.0873,0.6904,1
0.8834,0.9918,0.7485,0.783,2.134,0.6834,1
0.9311,0.9837,0.761,0.6683,2.7409,0.5976,1
0.9412,0.9894,0.5594,0.6338,2.9593,0.5801,1
0.9131,0.9904,0.682,0.7115,2.4532,0.6348,1
0.9061,0.9888,0.6268,0.735,2.3636,0.6497,1
0.8451,0.9851,0.7225,0.8142,1.8704,0.7285,1
0.904,0.9906,0.5805,0.7287,2.3391,0.6524,1
0.8985,0.9929,0.6709,0.7611,2.2777,0.6621,1
0.9312,0.9903,0.7071,0.6915,2.7443,0.6014,1
0.9155,0.9889,0.6995,0.7224,2.485,0.6335,1
0.9067,0.9883,0.7503,0.7331,2.3713,0.6463,1
0.8979,0.9891,0.5418,0.7383,2.2719,0.6579,1
0.8024,0.9813,0.6819,0.8061,1.6756,0.7628,1
0.9166,0.9914,0.6275,0.7205,2.5011,0.6315,1
0.9203,0.9888,0.6676,0.711,2.5554,0.6236,1
0.9386,0.9895,0.5424,0.6565,2.899,0.5856,1
0.896,0.989,0.7161,0.7675,2.2521,0.6651,1
0.9038,0.9878,0.7149,0.747,2.3367,0.6533,1
0.8417,0.9935,0.6931,0.8451,1.8522,0.7343,1
0.9305,0.9882,0.6226,0.6764,2.7308,0.6025,1
0.8839,0.9917,0.7454,0.784,2.1381,0.682,1
0.812,0.9932,0.7435,0.8587,1.7132,0.7596,1
0.9207,0.9896,0.5233,0.7105,2.5621,0.624,1
0.8949,0.9924,0.7044,0.772,2.2409,0.6672,1
0.9179,0.9893,0.613,0.7199,2.5197,0.6286,1
0.875,0.9913,0.6033,0.7971,2.0658,0.6941,1
0.8809,0.9904,0.7386,0.775,2.1127,0.6851,1
0.9045,0.989,0.673,0.7353,2.3453,0.6503,1
0.9272,0.9916,0.5447,0.6901,2.6704,0.6107,1
0.9071,0.9864,0.5636,0.7308,2.3756,0.6467,1
0.9315,0.9837,0.7481,0.6749,2.7491,0.5968,1
0.9314,0.9893,0.5005,0.682,2.7474,0.6025,1
0.9112,0.9876,0.5421,0.7257,2.4275,0.6387,1
0.9038,0.9908,0.5811,0.7326,2.3371,0.6532,1
0.8958,0.9914,0.6365,0.7612,2.2504,0.6653,1
0.8995,0.9919,0.5981,0.7502,2.2891,0.66,1
0.8719,0.9916,0.7116,0.8049,2.0421,0.6986,1
0.8535,0.9907,0.662,0.8166,1.9188,0.7207,1
0.888,0.9926,0.7502,0.7754,2.1749,0.6766,1
0.9288,0.99,0.5119,0.68,2.6985,0.6065,1
0.8739,0.9926,0.6905,0.7923,2.0568,0.6956,1
0.8808,0.9902,0.7002,0.7826,2.1118,0.6871,1
0.9044,0.9897,0.7488,0.7438,2.3439,0.652,1
0.9203,0.9921,0.5218,0.7065,2.5563,0.6241,1
0.8719,0.9921,0.7559,0.8047,2.0422,0.6982,1
0.8974,0.991,0.7383,0.7653,2.2664,0.6634,1
0.9213,0.9863,0.5118,0.6943,2.5722,0.6218,1
0.8897,0.9888,0.5708,0.766,2.1908,0.6741,1
0.8763,0.9807,0.7556,0.7281,2.0755,0.6885,1
0.9229,0.9876,0.6574,0.6888,2.597,0.618,1
0.9018,0.9915,0.5627,0.7534,2.3137,0.6567,1
0.9046,0.991,0.5525,0.7341,2.346,0.6514,1
0.9087,0.9919,0.5907,0.7341,2.3953,0.6437,1
0.9003,0.991,0.563,0.76,2.2969,0.6591,1
0.8833,0.993,0.6435,0.7901,2.1328,0.6841,1
0.835,0.9911,0.6856,0.8424,1.8176,0.7403,1
0.8886,0.9925,0.6546,0.7695,2.18,0.6759,1
0.9143,0.9904,0.5299,0.7114,2.4685,0.634,1
0.9011,0.9905,0.7321,0.7391,2.3063,0.6565,1
0.8815,0.9904,0.6282,0.7698,2.1177,0.6845,1
0.8389,0.9744,0.7678,0.7111,1.8371,0.7288,1
0.8914,0.9909,0.5762,0.7666,2.2067,0.6721,1
0.9058,0.993,0.6913,0.7474,2.36,0.6499,1
0.9156,0.9892,0.7653,0.7182,2.4867,0.6326,1
0.927,0.9901,0.7427,0.6783,2.6655,0.6106,1
0.882,0.9904,0.7472,0.784,2.1221,0.6856,1
0.8315,0.9911,0.6679,0.8203,1.8003,0.7438,1
0.8988,0.9884,0.6296,0.7461,2.2814,0.6601,1
0.8811,0.9912,0.6119,0.7771,2.1148,0.687,1
0.9457,0.9889,0.6397,0.627,3.0759,0.5673,1
0.9063,0.9896,0.7628,0.7269,2.3659,0.6475,1
0.8452,0.9912,0.7018,0.8122,1.8712,0.7294,1
0.8932,0.9924,0.7633,0.7763,2.2236,0.6693,1
0.8686,0.9859,0.7305,0.7576,2.018,0.7013,1
0.9068,0.9906,0.7245,0.7382,2.372,0.6481,1
0.8849,0.9916,0.7031,0.7766,2.1466,0.6805,1
0.8983,0.9899,0.6983,0.7546,2.2763,0.662,1
0.8586,0.9801,0.646,0.6821,1.9505,0.7051,1
0.8878,0.9902,0.6111,0.7691,2.1725,0.6776,1
0.9123,0.9924,0.5453,0.7226,2.4419,0.633,1
0.9073,0.9912,0.6088,0.7359,2.3783,0.6477,1
0.8884,0.992,0.7088,0.7872,2.1784,0.6769,1
0.8236,0.9856,0.6766,0.8168,1.7631,0.7457,1
0.8892,0.9922,0.7462,0.7763,2.1855,0.6753,1
0.9131,0.9903,0.5451,0.7202,2.4526,0.6369,1
0.8635,0.9826,0.6102,0.7626,1.9829,0.705,1
0.8956,0.9897,0.5618,0.7609,2.2476,0.6661,1
0.9029,0.9911,0.6726,0.75,2.3261,0.6538,1
0.8958,0.9917,0.75,0.7641,2.2496,0.666,1
0.9026,0.9922,0.6226,0.7513,2.3234,0.6545,1
0.9109,0.9917,0.6538,0.7378,2.4241,0.6419,1
0.8852,0.9883,0.5948,0.7757,2.1498,0.6811,1
0.9151,0.9862,0.731,0.7206,2.48,0.6337,1
0.9339,0.9567,0.5163,0.653,2.7974,0.5871,1
0.9358,0.9872,0.624,0.6564,2.836,0.5892,1
0.8848,0.9898,0.5933,0.7635,2.1465,0.6792,1
0.8695,0.9893,0.6204,0.7958,2.0246,0.7006,1
0.8633,0.9921,0.6238,0.8106,1.9813,0.7087,1
0.9231,0.9913,0.5851,0.7039,2.6005,0.6187,1
0.8513,0.9917,0.6485,0.8379,1.906,0.7236,1
0.8903,0.9905,0.7051,0.7679,2.196,0.6734,1
0.9114,0.991,0.6202,0.7344,2.4303,0.64,1
0.8812,0.9934,0.618,0.7948,2.1153,0.6856,1
0.9121,0.9912,0.7187,0.7412,2.4397,0.6376,1
0.8239,0.9917,0.6693,0.8593,1.7644,0.7518,1
0.8548,0.9881,0.6104,0.6515,1.9267,0.7167,1
0.8873,0.9911,0.7327,0.7759,2.1681,0.6782,1
0.8863,0.9889,0.7175,0.7626,2.1594,0.6774,1
0.934,0.9907,0.4888,0.6672,2.7996,0.5973,1
0.9101,0.9919,0.6002,0.7444,2.4134,0.6433,1
0.899,0.992,0.7643,0.7549,2.2828,0.6599,1
0.913,0.989,0.7374,0.7185,2.4513,0.6359,1
0.8621,0.9901,0.736,0.7933,1.9735,0.7104,1
